date,ic,p_value,num_stocks,is_significant,is_positive,ic_12m_ma,ic_3m_ma,factor_name
2024-03-06,0.18410437609267635,0.04596774990800345,118,True,True,-0.012508664288214257,-0.04725899874044943,12M_Momentum
2024-03-07,0.15975151468670912,0.08399030754160507,118,False,True,-0.011173314063602448,-0.04274524080778545,12M_Momentum
2024-03-11,0.17807748914428873,0.05369680940212381,118,False,True,-0.009717538654310976,-0.03914606415687801,12M_Momentum
2024-03-12,0.22001760286904856,0.016666952103014245,118,True,True,-0.007963835283903653,-0.03718191007304187,12M_Momentum
2024-03-13,0.1849506425777612,0.04496047199005662,118,True,True,-0.006502361966769829,-0.034272286653256635,12M_Momentum
2024-03-18,0.2694736303908787,0.003168885286927645,118,True,True,-0.004427354505434126,-0.03363436452484776,12M_Momentum
2024-03-19,0.23139738294274684,0.011696295931972005,118,True,True,-0.0026674684050745664,-0.02995550317923235,12M_Momentum
2024-03-20,0.18244533797873777,0.04799690612876863,118,True,True,-0.0012962624318611413,-0.0275576672999232,12M_Momentum
2024-03-25,0.3044577054832041,0.0008023089162296418,118,True,True,0.000951928508690809,-0.020589438947814096,12M_Momentum
2024-03-26,0.2538282588133037,0.005545607571065886,118,True,True,0.002797741138651487,-0.015522291345415285,12M_Momentum
2024-03-27,0.2897497982243745,0.0014598791141059754,118,True,True,0.0048771038711567264,-0.009495230699175124,12M_Momentum
2024-05-20,0.1795897647532288,0.05166329839842159,118,False,True,0.00613402948901336,-0.00493397741218874,12M_Momentum
2024-05-21,0.07081685346889734,0.44603831000627225,118,False,True,0.006596049660298245,-0.002382408990486022,12M_Momentum
2024-05-22,0.13209090676687885,0.1539099397816725,118,False,True,0.007486084107862647,0.0016726335479070645,12M_Momentum
2024-05-27,0.23984865887480025,0.008896926284567269,118,True,True,0.009122440268193192,0.00770532548878863,12M_Momentum
2024-05-28,0.3004143255482633,0.0009487842307805552,118,True,True,0.011159446458962913,0.014215426879172178,12M_Momentum
2024-05-29,0.2793122464109503,0.0021912100831457493,118,True,True,0.013021618680851714,0.02057388106441914,12M_Momentum
2024-06-03,0.2700944784693539,0.0030971797903099002,118,True,True,0.01479453495525518,0.027944907018133656,12M_Momentum
2024-06-04,0.3292436413176988,0.00027213635970801774,118,True,True,0.01694829595773767,0.034572621043801856,12M_Momentum
2024-06-05,0.32058827288932756,0.0004011865241426907,118,True,True,0.019013874032102227,0.0424314336817592,12M_Momentum
2024-06-10,0.31906171423824775,0.00042910036360193824,118,True,True,0.02104122430376537,0.05147200795946458,12M_Momentum
2024-06-11,0.2774830772943635,0.0023491500834802183,118,True,True,0.02276231056544724,0.059457616675044685,12M_Momentum
2024-06-12,0.3214902488614474,0.0003636397187262448,119,True,True,0.02475383015408724,0.06768198760343021,12M_Momentum
2024-06-13,0.23039453069363341,0.011709239208112565,119,True,True,0.026115689098057743,0.07393225253624676,12M_Momentum
2024-06-17,0.20868147108968962,0.02275319802119398,119,True,True,0.027316779769055322,0.07970546276297906,12M_Momentum
2024-06-18,0.12167804030435234,0.1874219588554221,119,False,True,0.027933520033991906,0.08375698861229368,12M_Momentum
2024-06-19,0.08975961315971004,0.33165400520584043,119,False,True,0.02833498817117189,0.08684916463485844,12M_Momentum
2024-06-20,0.10508474576271187,0.2553746207483393,119,False,True,0.028830147897568922,0.09061124945805225,12M_Momentum
2024-06-24,0.18268441583210807,0.04674710311432299,119,True,True,0.029816393204841612,0.09450232953120463,12M_Momentum
2024-06-25,0.1865442717284536,0.04221995082370326,119,True,True,0.030814659947030223,0.09642540515514099,12M_Momentum
2024-06-26,0.0205918327016291,0.8240936676032904,119,False,True,0.03074995850876819,0.09500173075550776,12M_Momentum
2024-06-27,0.016472012533827095,0.8588770399327159,119,False,True,0.030660160106410067,0.09353553807518569,12M_Momentum
2024-07-01,0.09951253209197146,0.28158280393993157,119,False,True,0.03109048743131983,0.09486614230744592,12M_Momentum
2024-07-02,0.09959122341246286,0.2812005859856654,119,False,True,0.03151595784114059,0.09807636671900075,12M_Momentum
2024-07-03,0.05343968095712862,0.5637925493933402,119,False,True,0.031651289465313356,0.10136961742225052,12M_Momentum
2024-07-04,0.007669861255284296,0.9340214037635554,119,False,True,0.031504164138871464,0.10373816646779917,12M_Momentum
2024-07-08,0.04480851162325793,0.6284661780471494,119,False,True,0.03158528820889821,0.10640185901900076,12M_Momentum
2024-07-09,0.037722546645776955,0.6837833526015957,119,False,True,0.03162248371457626,0.10945337619817418,12M_Momentum
2024-07-10,0.033552972427364866,0.7171590197879574,119,False,True,0.0316341131646533,0.1118459645991895,12M_Momentum
2024-07-11,0.009581985440097512,0.917624742344279,119,False,True,0.03150206449564399,0.11506045959858255,12M_Momentum
2024-07-15,0.016646518741157884,0.8573977020876482,119,False,True,0.03141363862805776,0.11884869795354991,12M_Momentum
2024-07-16,-0.054593362768836355,0.5553936963397836,119,False,False,0.0309047214600288,0.12172568611044476,12M_Momentum
2024-07-17,0.06741204956558897,0.46634079604051026,119,False,True,0.031119470448885037,0.12629604418253795,12M_Momentum
2024-07-22,0.05288073793046754,0.5678832843274216,119,False,True,0.031246729323046334,0.13027804990482042,12M_Momentum
2024-07-23,-0.0893533684660305,0.33385592341621795,119,False,False,0.030545565963807517,0.1324909619252726,12M_Momentum
2024-07-24,-0.01340264919527133,0.884972307566282,119,False,False,0.030291530038032498,0.13362345848925156,12M_Momentum
2024-07-29,-0.027211223472439827,0.7689408643124634,119,False,False,0.029961054443144723,0.1361819804760063,12M_Momentum
2024-07-30,-0.08631249109813417,0.35063258570977185,119,False,False,0.029296634182908846,0.13720196816406857,12M_Momentum
2024-07-31,-0.1388192565161658,0.13215574989205242,119,False,False,0.02834143025848228,0.13655768773547,12M_Momentum
2024-08-05,-0.1164933770118217,0.20706410207299117,119,False,False,0.027523154511192433,0.13658219183494133,12M_Momentum
2024-08-06,-0.1426829203159225,0.12162490344020781,119,False,False,0.026566940607669315,0.13566778761484874,12M_Momentum
2024-08-07,-0.16165133760014744,0.07902604600829286,119,False,False,0.02551544184673179,0.13383477954722048,12M_Momentum
2024-08-12,-0.16176470588235298,0.07881327923170527,119,False,False,0.024474996581570208,0.13082333238175997,12M_Momentum
2024-08-13,-0.1521402794125033,0.09858213406897294,119,False,False,0.023499221576078085,0.1283275403975311,12M_Momentum
2024-08-14,-0.13586051819655168,0.1406810106004966,119,False,False,0.022623618610294407,0.12585375927413478,12M_Momentum
2024-10-07,0.35638797892038176,6.945765375374746e-05,119,True,True,0.02444746757373751,0.12814845087234442,12M_Momentum
2024-10-08,0.37422731804586246,2.7572830513334807e-05,119,True,True,0.02634844502195558,0.13081372384811443,12M_Momentum
2023-01-25,0.07024122732087335,0.46177112868206904,112,False,True,,,1M_Momentum
2023-01-26,0.11907609252741998,0.2111169203745721,112,False,True,,,1M_Momentum
2023-01-30,0.12501281306591042,0.18907253530848678,112,False,True,,,1M_Momentum
2023-01-31,0.17586435176447587,0.06362800365208136,112,False,True,,,1M_Momentum
2023-02-01,0.3101957836471111,0.0008732245675583981,112,True,True,,,1M_Momentum
2023-02-06,0.2420350608947777,0.01013848704907316,112,True,True,,,1M_Momentum
2023-02-07,0.2121278281323788,0.024094890592622414,113,True,True,,,1M_Momentum
2023-02-08,0.17023754075454126,0.07143346994837513,113,False,True,,,1M_Momentum
