date,ticker,signal,rank,score
2024-06-30,373220,-1,185,-0.45520709292307043
2024-06-30,389470,-1,186,-0.46198243827147245
2024-06-30,383310,-1,187,-0.4638403609179691
2024-06-30,096530,-1,188,-0.466076620417221
2024-06-30,277810,-1,189,-0.4671425041007227
2024-06-30,020560,-1,190,-0.4671569598609885
2024-06-30,008930,-1,191,-0.467523922917342
2024-06-30,122870,-1,192,-0.46936911198162706
2024-06-30,056080,-1,193,-0.4700862995679271
2024-06-30,058610,-1,194,-0.4745231026872506
2024-06-30,090360,-1,195,-0.4794012454659806
2024-06-30,108490,-1,196,-0.4811278572528587
2024-06-30,068760,-1,197,-0.48122426433596166
2024-06-30,115180,-1,198,-0.48212441927536265
2024-06-30,000240,-1,199,-0.491426361332999
2024-06-30,003570,-1,200,-0.4969115231259461
2024-07-31,032820,1,1,10.437887038814045
2024-07-31,005930,1,2,6.07321911284901
2024-07-31,034020,1,3,3.286266970733954
2024-07-31,232140,1,4,3.0576623212304264
2024-07-31,001440,1,5,2.6800341031434964
2024-07-31,010140,1,6,2.2259184097949447
2024-07-31,323280,1,7,1.084223279500209
2024-07-31,051980,1,8,1.0243174050106658
2024-07-31,036460,1,9,0.9855516679321951
2024-07-31,000660,1,10,0.8784985946333186
2024-07-31,028300,1,11,0.8659311381052383
2024-07-31,011200,1,12,0.6501097698497613
2024-07-31,006910,1,13,0.6052954844972797
2024-07-31,272210,1,14,0.5266545816070558
2024-07-31,018880,1,15,0.5125543714552104
2024-07-31,028670,1,16,0.5003471348681152
2024-07-31,003160,1,17,0.48244587086336566
2024-07-31,257720,1,18,0.46298640583226186
2024-07-31,007660,1,19,0.4539793999088434
2024-07-31,067630,1,20,0.38216325965558096
2024-07-31,047050,0,21,0.3069447843479154
2024-07-31,042670,0,22,0.2971963848206603
2024-07-31,064350,0,23,0.29494134989753473
2024-07-31,316140,0,24,0.2779290548139952
2024-07-31,103590,0,25,0.2668140879198755
2024-07-31,060370,0,26,0.25393957708858883
2024-07-31,041190,0,27,0.2484260748071838
2024-07-31,034220,0,28,0.22715883640384452
2024-07-31,047040,0,29,0.2155620703518183
2024-07-31,204270,0,30,0.2096638586929239
2024-07-31,229640,0,31,0.20127042171829265
2024-07-31,225570,0,32,0.18520050755902198
2024-07-31,009830,0,33,0.1842101837235956
2024-07-31,018290,0,34,0.15386281269551186
2024-07-31,015760,0,35,0.12008446195667732
2024-07-31,042700,0,36,0.11707801462302146
2024-07-31,088350,0,37,0.11107923579661584
2024-07-31,336570,0,38,0.08955819950653073
2024-07-31,064260,0,39,0.07213802736174181
2024-07-31,090710,0,40,0.07141007135191431
2024-07-31,161580,0,41,0.058974666253755345
2024-07-31,042660,0,42,0.05757943629894795
2024-07-31,059090,0,43,0.05324428293929811
2024-07-31,005935,0,44,0.022593026824160818
2024-07-31,055550,0,45,0.008363802650562059
2024-07-31,403870,0,46,0.0038169782457700852
2024-07-31,082740,0,47,0.0017081563511962162
2024-07-31,086520,0,48,0.0013285518957585165
2024-07-31,083650,0,49,-0.025087652258955113
2024-07-31,105560,0,50,-0.029511151864817148
2024-07-31,023160,0,51,-0.035049289768043834
2024-07-31,196170,0,52,-0.03994476979118168
2024-07-31,178320,0,53,-0.04276187476885821
2024-07-31,000250,0,54,-0.04405235928536349
2024-07-31,089030,0,55,-0.04716036603564396
2024-07-31,033100,0,56,-0.04859623872732582
2024-07-31,035720,0,57,-0.05052501173900984
2024-07-31,087010,0,58,-0.05510364173899045
2024-07-31,000270,0,59,-0.0676170134533059
2024-07-31,454910,0,60,-0.0977913639684794
2024-07-31,215100,0,61,-0.10245991777652032
2024-07-31,397030,0,62,-0.10292936070900757
2024-07-31,298380,0,63,-0.1069457731531658
2024-07-31,080220,0,64,-0.10747575092889838
2024-07-31,066570,0,65,-0.11316187667601726
2024-07-31,024110,0,66,-0.12627362952062038
2024-07-31,336260,0,67,-0.12981170696215735
2024-07-31,088980,0,68,-0.14067948427087465
2024-07-31,028050,0,69,-0.1416859106844842
2024-07-31,075580,0,70,-0.14582950344507337
2024-07-31,000100,0,71,-0.15217282983620217
2024-07-31,036930,0,72,-0.16095155197607355
2024-07-31,005380,0,73,-0.16155129850775893
2024-07-31,073240,0,74,-0.16915772817791022
2024-07-31,323410,0,75,-0.17400304011220435
2024-07-31,000990,0,76,-0.17580500785951422
2024-07-31,003490,0,77,-0.1760692193986357
2024-07-31,086790,0,78,-0.17616782715760065
2024-07-31,119850,0,79,-0.17836041432018876
2024-07-31,014620,0,80,-0.18015520186529488
2024-07-31,089010,0,81,-0.18729821975385452
2024-07-31,098460,0,82,-0.190224505389724
2024-07-31,010120,0,83,-0.1918639002053659
2024-07-31,067310,0,84,-0.19330450158288112
2024-07-31,007390,0,85,-0.19335776680476277
2024-07-31,071970,0,86,-0.2016770880232548
2024-07-31,035420,0,87,-0.2042021674575809
2024-07-31,138930,0,88,-0.20768687852699852
2024-07-31,389470,0,89,-0.20807608077926965
2024-07-31,036540,0,90,-0.2089369309312207
2024-07-31,096770,0,91,-0.21240211527730832
2024-07-31,141080,0,92,-0.21290210276091048
2024-07-31,137400,0,93,-0.21362880696217004
2024-07-31,047810,0,94,-0.21714008451155414
2024-07-31,022100,0,95,-0.2258480893540779
2024-07-31,317330,0,96,-0.22931634199464618
2024-07-31,032640,0,97,-0.23075397823708624
2024-07-31,068270,0,98,-0.2360747270868961
2024-07-31,333430,0,99,-0.23681439989782968
2024-07-31,011790,0,100,-0.24402161365431974
2024-07-31,100090,0,101,-0.24801506218855918
2024-07-31,036810,0,102,-0.24948944371363282
2024-07-31,035250,0,103,-0.24983157687964833
2024-07-31,358570,0,104,-0.2547337124609223
2024-07-31,032350,0,105,-0.2600808799162224
2024-07-31,012450,0,106,-0.26105003727143866
2024-07-31,247540,0,107,-0.26267439670559006
2024-07-31,006260,0,108,-0.26277524686676174
2024-07-31,074600,0,109,-0.2629559643892018
2024-07-31,267260,0,110,-0.26570397754728736
2024-07-31,016360,0,111,-0.26584486450143185
2024-07-31,101360,0,112,-0.2673421705913567
2024-07-31,281740,0,113,-0.2684190167039064
2024-07-31,222080,0,114,-0.2703746617501379
2024-07-31,139130,0,115,-0.27094825810311257
2024-07-31,006800,0,116,-0.2726759565101484
2024-07-31,103140,0,117,-0.27290515980332913
2024-07-31,006360,0,118,-0.27481507995449767
2024-07-31,039200,0,119,-0.2765682154019613
2024-07-31,161390,0,120,-0.2778699688559249
2024-07-31,005290,0,121,-0.2785751570271218
2024-07-31,005940,0,122,-0.2792785774321807
2024-07-31,030200,0,123,-0.2834721149451429
2024-07-31,025980,0,124,-0.29141234228528584
2024-07-31,009420,0,125,-0.2921978885886566
2024-07-31,014940,0,126,-0.29377383383634775
2024-07-31,009520,0,127,-0.2974575775206185
2024-07-31,065350,0,128,-0.2982525872985527
2024-07-31,395400,0,129,-0.2996664697424231
2024-07-31,204320,0,130,-0.2996741159832387
2024-07-31,241560,0,131,-0.30004009568456136
2024-07-31,034230,0,132,-0.30050173808993863
2024-07-31,353200,0,133,-0.3047938923587047
2024-07-31,017670,0,134,-0.3074961134603794
2024-07-31,348370,0,135,-0.3083769014353778
2024-07-31,035900,0,136,-0.3087109108900368
2024-07-31,009150,0,137,-0.30886963260802675
2024-07-31,402340,0,138,-0.31080527071558844
2024-07-31,031980,0,139,-0.3124980035670426
2024-07-31,263750,0,140,-0.31255545865086015
2024-07-31,000720,0,141,-0.31495168600075624
2024-07-31,012510,0,142,-0.31923956571215295
2024-07-31,214150,0,143,-0.32013531020920594
2024-07-31,001450,0,144,-0.3234044139438987
2024-07-31,095610,0,145,-0.32422389163486437
2024-07-31,440110,0,146,-0.3289840756963677
2024-07-31,020150,0,147,-0.331450761931524
2024-07-31,036830,0,148,-0.3334712705528916
2024-07-31,222800,0,149,-0.33635883086572965
2024-07-31,175330,0,150,-0.33657255952138354
2024-07-31,240810,0,151,-0.3380316553382794
2024-07-31,095500,0,152,-0.34089180271799135
2024-07-31,004020,0,153,-0.34217435831362886
2024-07-31,377300,0,154,-0.34354504233608607
2024-07-31,017960,0,155,-0.3436752279436813
2024-07-31,005490,0,156,-0.34499061308734535
2024-07-31,089890,0,157,-0.3486888585392758
2024-07-31,079550,0,158,-0.3488121541777461
2024-07-31,006400,0,159,-0.34965533084064393
2024-07-31,032830,0,160,-0.34992785938547777
2024-07-31,138040,0,161,-0.3500853399392425
2024-07-31,112610,0,162,-0.3507227381175437
2024-07-31,319660,0,163,-0.35401046014171494
2024-07-31,000880,0,164,-0.35660206198298594
2024-07-31,450140,0,165,-0.35755043726976027
2024-07-31,003670,0,166,-0.35779323526450163
2024-07-31,114190,0,167,-0.36212009901430675
2024-07-31,028260,0,168,-0.36430076053847515
2024-07-31,319400,0,169,-0.3679012606865412
2024-07-31,051910,0,170,-0.36847781753087777
2024-07-31,066970,0,171,-0.3715618636290059
2024-07-31,124500,0,172,-0.3715783680544248
2024-07-31,117730,0,173,-0.3726398533587253
2024-07-31,030530,0,174,-0.37402138044712674
2024-07-31,328130,0,175,-0.3744145820566437
2024-07-31,352820,0,176,-0.3749472007531066
2024-07-31,003690,0,177,-0.3766039398412097
2024-07-31,010950,0,178,-0.3823476106648703
2024-07-31,445680,0,179,-0.3845588233602557
2024-07-31,356860,0,180,-0.38620894048786214
2024-07-31,060250,-1,181,-0.3875083667386109
2024-07-31,084370,-1,182,-0.388023236739408
2024-07-31,095340,-1,183,-0.38809639651034195
2024-07-31,056080,-1,184,-0.39024682506583064
2024-07-31,101490,-1,185,-0.3947702858280594
2024-07-31,131970,-1,186,-0.3983974220189425
2024-07-31,008770,-1,187,-0.39965284879475815
2024-07-31,058610,-1,188,-0.3999643234430938
2024-07-31,096530,-1,189,-0.40120084392702576
2024-07-31,020560,-1,190,-0.4130481555160794
2024-07-31,068760,-1,191,-0.41310453453670565
2024-07-31,008930,-1,192,-0.4131649871602292
2024-07-31,277810,-1,193,-0.4139782096414655
2024-07-31,115180,-1,194,-0.41598454806288643
2024-07-31,122870,-1,195,-0.4168339516692325
2024-07-31,383310,-1,196,-0.4216638784596396
2024-07-31,003570,-1,197,-0.42268080917466344
2024-07-31,090360,-1,198,-0.42917898339132204
2024-07-31,000240,-1,199,-0.43455177399815964
2024-07-31,108490,-1,200,-0.43458041645208206
2024-08-31,032820,1,1,9.223069013275062
2024-08-31,005930,1,2,7.730429736443244
2024-08-31,034020,1,3,3.286701326106149
2024-08-31,010140,1,4,3.015235751832419
2024-08-31,232140,1,5,2.269917446756159
2024-08-31,036460,1,6,1.7606119432559182
2024-08-31,000660,1,7,1.6216567787648457
2024-08-31,001440,1,8,1.2758666988781797
2024-08-31,051980,1,9,0.8348656025994411
2024-08-31,272210,1,10,0.8302433654886584
2024-08-31,323280,1,11,0.7185740027260036
2024-08-31,225570,1,12,0.6838351958453327
2024-08-31,064350,1,13,0.644817852782649
2024-08-31,316140,1,14,0.62003873093273
2024-08-31,011200,1,15,0.5967015881986715
2024-08-31,047050,1,16,0.5425022789009855
2024-08-31,257720,1,17,0.5355147846933712
2024-08-31,047040,1,18,0.5347341055096051
2024-08-31,028300,1,19,0.533637399573711
2024-08-31,003160,1,20,0.5193748733454138
2024-08-31,028670,0,21,0.4828767800756842
2024-08-31,000100,0,22,0.4673581962994494
2024-08-31,007660,0,23,0.4488716547085237
2024-08-31,042670,0,24,0.4246759338482686
2024-08-31,034220,0,25,0.38439337623837727
2024-08-31,090710,0,26,0.37839026980880475
2024-08-31,018880,0,27,0.3475012599346962
2024-08-31,067630,0,28,0.27641204424263244
2024-08-31,015760,0,29,0.24608608036290386
2024-08-31,042660,0,30,0.2338144906939133
2024-08-31,088350,0,31,0.20190451540706458
2024-08-31,064260,0,32,0.19335817220241733
2024-08-31,041190,0,33,0.1854450765295772
2024-08-31,204270,0,34,0.18426106275992485
2024-08-31,298380,0,35,0.17147713676697562
2024-08-31,042700,0,36,0.15547359460393217
2024-08-31,005935,0,37,0.13043470367933188
2024-08-31,006910,0,38,0.1229976559441878
2024-08-31,055550,0,39,0.10969477270765242
2024-08-31,222080,0,40,0.10098056116348034
2024-08-31,023160,0,41,0.10076255570554064
2024-08-31,060370,0,42,0.0900019720958967
2024-08-31,018290,0,43,0.08869051389212827
2024-08-31,087010,0,44,0.07511344431195803
2024-08-31,397030,0,45,0.07047448137333141
2024-08-31,082740,0,46,0.04316513102164079
2024-08-31,035720,0,47,0.034221479195252605
2024-08-31,086520,0,48,0.03247915113859038
2024-08-31,089030,0,49,0.0316464524589764
2024-08-31,096530,0,50,0.02335033796148703
2024-08-31,105560,0,51,0.02278500540839029
2024-08-31,009830,0,52,0.021464111561929317
2024-08-31,103590,0,53,0.0023592669550162202
2024-08-31,000250,0,54,-0.02116955903324314
2024-08-31,196170,0,55,-0.032632019896943934
2024-08-31,000270,0,56,-0.03360726002886974
